Date,Authors,Title,Journal,PDF,Notes,Preprint_platform,Preprint_link
01/01/2024,"*Zioga, I., Zhou, J., Weissbart, H., & Martin, A. E.",Alpha and beta oscillations differentially support word production in a rule-switching task,eNeuro,https://www.eneuro.org/content/eneuro/early/2024/03/13/ENEURO.0312-23.2024.full.pdf,,,
01/01/2023,"*Coopmans, C. W., Mai, A., Slaats, S., Weissbart, H., & Martin, A. E.",What oscillations can do for syntax depends on your theory of structure building,Letter in Nature Reviews Neuroscience,https://pure.mpg.de/rest/items/item_3530728_1/component/file_3530729/content,,,
01/01/2023,"*Coopmans, C. W., Kaushik, K.,& Martin, A. E.",Hierarchical structure in language and action: A formal comparison,Psychological Review,https://pure.mpg.de/rest/items/item_3517786_1/component/file_3517787/content,,,
01/01/2023,"*Zioga, I., Weissbart, H., Lewis, A. G., Haegens, S., & Martin, A. E.",Naturalistic spoken language comprehension is supported by alpha and beta oscillations,Journal of Neuroscience,https://pure.mpg.de/rest/items/item_3512679_1/component/file_3512680/content,,,
01/01/2023,"*Guest, O. & Martin, A. E.","On logical inference over brain, behavior, and artificial neural networks",Computational Brain & Behavior,https://pure.mpg.de/rest/items/item_3492455_8/component/file_3516670/content,,,
01/01/2023,"*Tezcan, F., Weissbart, H., & Martin, A. E.",A tradeoff between acoustic and linguistic feature encoding in spoken language comprehension,eLife,https://pure.mpg.de/pubman/faces/ViewItemFullPage.jsp?itemId=item_3518643_2,,,
01/01/2023,"*Slaats, S., Weissbart, H., Schoffelen, J. M., Meyer, A. S., & Martin, A. E.",Delta-band neural responses to individual words are modulated by sentence processing,Journal of Neuroscience,https://pure.mpg.de/rest/items/item_3513149_3/component/file_3517739/content,,,
01/01/2023,"*Ten Oever, S. & Martin, A. E.",Interdependence of ‘what’ and ‘when’ in the brain,Journal of Cognitive Neuroscience,https://psyarxiv.com/ze69m/,,,
01/01/2022,"*Ten Oever, S., Kaushik, K., & Martin, A. E. ",Inferring the nature of linguistic computations in the brain,PLoS Computational Biology,https://pure.mpg.de/pubman/faces/ViewItemFullPage.jsp?itemId=item_3397117,,,
01/01/2022,"*Ten Oever, S., Carta, S., Kaufeld, G., & Martin, A. E.",Neural tracking of phrases in spoken language comprehension is automatic and task-dependent,eLife,https://pure.mpg.de/rest/items/item_3395208_1/component/file_3395209/content,,,
01/01/2022,"*Bai, F., Meyer, A. S, & Martin, A. E",Neural dynamics differentially encode phrases and sentences during spoken language comprehension,PLoS Biology,https://pure.mpg.de/rest/items/item_3395037_1/component/file_3395170/content,,,
01/01/2022,"*Ten Oever, S., Kaushik, K., & Martin, A. E.",Inferring the nature of linguistic computations in the brain,PLoS Computational Biology,https://pure.mpg.de/rest/items/item_3397117_1/component/file_3397118/content,,,
01/01/2022,"*Coopmans, C. W., De Hoop, H., Hagoort, P., & Martin, A. E.",Effects of structure and meaning on cortical tracking of linguistic units in naturalistic speech,Neurobiology of Language,https://pure.mpg.de/pubman/item/item_3371251,,,
01/01/2021,"*Coopmans, C. W., De Hoop, H., Kaushik, K., Hagoort, P., & Martin, A. E.",Hierarchy in language interpretation: Evidence from behavioral experiments and computational modeling,"In press at Language, Cognition and Neuroscience",https://pure.mpg.de/pubman/item/item_3340469,,,
01/01/2022,"Doumas, L. A. A., Puebla, G., Martin, A. E., & Hummel, J. E.",A theory of relation learning and cross-domain generalization,Psychological Review,https://pure.mpg.de/rest/items/item_3367138_1/component/file_3367139/content,,,
01/01/2021,"*Ten Oever, S. & Martin, A. E.",An oscillating computational model can track pseudo-rhythmic speech by using linguistic predictions,eLife,https://pure.mpg.de/rest/items/item_3335841_1/component/file_3335842/content,,,
01/01/2021,"Guest, O. & Martin, A. E. ",How computational modeling can force theory building in psychological science?,Perspectives on Psychological Science,https://pure.mpg.de/rest/items/item_3279903_1/component/file_3279904/content,,,
01/01/2021,"*Puebla, G., Martin, A. E., Doumas, L. A. A.",The relational processing limits of classic and contemporary neural network models of language processing,"Language, Cognition, and Neuroscience",https://pure.mpg.de/rest/items/item_3259359_3/component/file_3282387/content,,,
01/01/2021,"Doumas, L. A. A. & Martin, A. E. ",A model for learning structured representations of similarity and relative magnitude from experience,Current Opinion in Behavioral Sciences,https://pure.mpg.de/rest/items/item_3277903_1/component/file_3277904/content,,,
01/01/2021,"*Coopmans, C. W., De Hoop, H., Kaushik, K., Hagoort, P., & Martin, A. E.",Structure-(in)dependent interpretation of phrases in humans and LSTMs,Proceedings of the Society for Computation in Linguistics,https://pure.mpg.de/rest/items/item_3289370_3/component/file_3289371/content,,,
01/01/2020,"*Kaufeld, G., Bosker, H. R., Ten Oever, S., Alday, P. M., Meyer, A. S., & Martin, A. E. ",Linguistic structure and meaning organize neural oscillations into a content-specific hierarchy,The Journal of Neuroscience,https://pure.mpg.de/rest/items/item_3240225_9/component/file_3271144/content,,,
01/01/2019,"Meyer, L., Sun, Y. & Martin, A. E.","Synchronous, but not entrained: exogenous and endogenous cortical rhythms of speech and language processing","Language, Cognition, and Neuroscience",https://pure.mpg.de/rest/items/item_3175463_4/component/file_3218685/content,,,
01/01/2020,"Meyer, L., Sun, Y. & Martin, A. E.","""Entraining"" to speech, generating language?","Language, Cognition and Neuroscience",https://pure.mpg.de/rest/items/item_3261034_3/component/file_3514187/content,,,
01/01/2020,"*Cutter, M. G., Martin, A. E., & Sturt, P. ",Readers detect an low-level phonological violation between two parafoveal words,Cognition,https://pure.mpg.de/rest/items/item_3243975_1/component/file_3243976/content,,,
01/01/2019,"*Kaufeld, G., Naumann, W., Meyer, A. S., Bosker, H. R., & Martin, A. E.",Contextual speech rate influences morphosyntactic prediction and integration,"Language, Cognition, and Neuroscience",https://pure.mpg.de/rest/items/item_3180441_7/component/file_3261434/content,,,
01/01/2020,"*Cutter, M. G., Martin, A. E., & Sturt, P. ",The activation of contextually predictable words in syntactically illegal positions,Quarterly Journal of Experimental Psychology,https://pure.mpg.de/rest/items/item_3251040_1/component/file_3251041/content,,,
01/01/2020,"Martin, A. E.",A compositional neural architecture for language,Journal of Cognitive Neuroscience,https://pure.mpg.de/rest/items/item_3196366_5/component/file_3240713/content,,,
01/01/2019,"*Cutter, M. G., Martin, A. E., & Sturt, P.",Capitalization interacts with syntactic complexity,"Journal of Experimental Psychology: Learning, Memory, and Cognition",https://pure.mpg.de/rest/items/item_3158689_5/component/file_3239202/content,,,
01/01/2019,"*Kaufeld, G., Ravenschlag, A., Meyer, A. S., Martin, A. E., & Bosker, H. R.",Knowledge-based and signal-based cues are weighted flexibly during spoken language comprehension,"Journal of Experimental Psychology: Learning, Memory, and Cognition",https://pure.mpg.de/rest/items/item_3067219/component/file_3261436/content,,,
01/01/2020,"Martin, A. E. & Baggio, G.",Modeling meaning composition from formalism to mechanism,Philosophical Transactions of the Royal Society B: Biological Sciences,https://pure.mpg.de/rest/items/item_3181053_3/component/file_3221078/content,,,
01/01/2020,"Martin, A. E. & Doumas, L. A. A. ",Tensors and compositionality in neural systems,Philosophical Transactions of the Royal Society B: Biological Sciences,https://pure.mpg.de/rest/items/item_3181049_4/component/file_3182500/content,,,
01/01/2020,"Brennan, J. R. & Martin, A. E.",Phase synchronization varies systematically with linguistic structure composition,Philosophical Transactions of the Royal Society B: Biological Sciences,https://pure.mpg.de/rest/items/item_3181052_5/component/file_3182516/content,,,
01/01/2020,"Doumas, L. A. A., Martin, A. E., & Hummel, J. E.",Relation learning in a neurocomputational architecture supports cross-domain transfer,Proceedings of the 42nd Annual Virtual Meeting of the Cognitive Science Society,https://pure.mpg.de/rest/items/item_3246395_4/component/file_3246396/content,,,
01/01/2020,"*Hashemzadeh, M., Kaufeld, G., White, M., Martin, A. E., & Fyshe, A.",From language to language-ish: How brain-iike is an LSTM's representation of atypical language stimuli?,Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing: Findings,https://www.google.com/url?q=https%3A%2F%2Fwww.aclweb.org%2Fanthology%2F2020.findings-emnlp.57.pdf&sa=D&sntz=1&usg=AFQjCNGQ_sV3hQjny4j2EIGgOEkTUAi7ZQ,,,
